Piece,X,Y
WQ1,0,0
BA1,-1,0
WA1,0,1
BQ1,-2,0
WS1,1,0
BS1,-2,1
WS1,-1,-1
BG1,-3,0
WA3,0,2
BG2,-3,1
WA3,-2,-1
