Piece,X,Y
WB1,0,0
BB1,-1,0
WG1,1,-1
BS1,-2,1
WG2,1,0
BA1,-1,-1
WQ1,0,1
BQ1,-2,2
WA1,2,-1
BA1,0,2
WS1,3,-2
BQ1,-1,1
WS1,0,-1
BB1,0,0
WG2,-1,0
BA1,1,0
WQ1,-1,2
BS1,-1,3
WG1,-2,2
BS2,-2,4
WA3,-3,3
BS2,0,2
WB2,-4,3
BG1,0,3
WA1,-2,1
BG1,-2,3
WG1,1,-1
BB1,-1,1
WB1,-1,1
BA1,0,1
WB1,0,0
BB1,-2,2
