Piece,X,Y
WB1,0,0
BG1,1,-1
WQ1,0,1
BB2,2,-2
WA3,-1,1
BQ1,3,-2
WA3,4,-2
BA1,3,-3
WS1,1,1
BA2,2,-3
WA2,-1,1
BA3,3,-4
WG2,4,-1
BS1,4,-4
WS1,3,-1
BS2,5,-4
WG2,4,-3
BG2,6,-4
WA2,2,-1
