Piece,X,Y
WSp1,0,0
BSp1,-1,0
WQu1,0,1
BAn2,-2,0
WAn1,1,0
BQu1,-3,0
WAn1,-1,-1
BQu1,-2,-1
WGr2,1,0
BGr1,-2,1
WGr2,-3,0
BGr1,-2,-2
