Piece,X,Y
WB1,0,0
BG1,-1,0
WS1,0,1
BQ1,-1,-1
WQ1,1,-1
BA3,-2,1
WG2,1,0
BA3,2,-2
WS1,2,-1
BQ1,0,-1
WB1,0,-1
BG1,1,-2
WG2,1,-3
BA2,3,-3
WQ1,0,0
BA2,0,1
WS1,1,1
BA3,1,0
WA1,-1,0
BS1,2,-1
WG1,2,-4
BS1,1,2
WA2,-2,1
BA1,2,-2
WA2,-1,2
BA3,-1,1
WQ1,1,0
BS1,2,-1
WG1,0,-2
BA1,2,0
WG1,0,0
BG2,3,-1
WA2,4,-1
BG3,-2,2
WA1,0,-2
BG3,1,-1
